ticker,name,close,IOPV实时估值,基金折价率,change,pct_change,volume,amount,开盘价,最高价,最低价,昨收,振幅,turnover,volume_ratio,委比,外盘,内盘,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct,现手,买一,卖一,shares,float_mcap,total_mcap,data_date,更新时间
510300,沪深300ETF华泰柏瑞,4.765,4.7743,0.19,-0.022,-0.46,12650379.0,6059305801.0,4.75,4.823,4.75,4.787,1.52,5.18,0.51,-2.39,4889749.0,7760630.0,508187456.0,8.39,847162736.0,13.98,-338975280.0,-5.59,-435316000.0,-7.18,-72871456.0,-1.2,-52517.0,4.764,4.765,24421987584.0,116370770838,116370770838,2026-07-22,2026-07-22 16:11:57+08:00
159516,半导体设备ETF国泰,0.747,0.7456,-0.19,0.02,2.75,106108671.0,8064742301.858,0.746,0.788,0.737,0.727,7.02,19.09,1.16,4.63,46046039.0,60062632.0,272576928.0,3.38,736702896.0,9.13,-464125968.0,-5.76,-271926080.0,-3.37,-650752.0,-0.01,-420069.0,0.747,0.748,55571360000.0,41511805920,41511805920,2026-07-22,2026-07-22 15:34:03+08:00
510210,上证指数ETF富国,0.975,0.9783,0.34,-0.002,-0.2,15351560.0,1499921149.0,0.971,0.982,0.969,0.977,1.33,8.44,0.63,7.49,7846384.0,7505176.0,209309440.0,13.95,336719872.0,22.45,-127410432.0,-8.49,-146198324.0,-9.75,-63111130.0,-4.21,-71936.0,0.975,0.976,18182192640.0,17727637824,17727637824,2026-07-22,2026-07-22 16:11:41+08:00
510050,上证50ETF华夏,3.086,3.0965,0.34,0.007,0.23,9490967.0,2934456628.0,3.057,3.118,3.056,3.079,2.01,11.4,0.71,6.88,4063687.0,5427280.0,180390144.0,6.15,-2621696.0,-0.09,183011840.0,6.24,-80755037.0,-2.75,-99635110.0,-3.4,-34366.0,3.086,3.087,8322066688.0,25681897799,25681897799,2026-07-22,2026-07-22 16:11:46+08:00
512100,中证1000ETF南方,2.891,2.9004,0.32,-0.042,-1.43,27984783.0,8180947603.0,2.909,2.953,2.879,2.933,2.52,26.79,1.13,27.15,9593837.0,18390945.0,173663456.0,2.12,814323456.0,9.95,-640660000.0,-7.83,-188491696.0,-2.3,14828248.0,0.18,-63098.0,2.891,2.892,10447217664.0,30202906267,30202906267,2026-07-22,2026-07-22 16:11:32+08:00
510760,上证指数ETF国泰,1.278,1.2831,0.4,0.007,0.55,4319979.0,551888663.0,1.265,1.285,1.261,1.271,1.89,10.57,0.82,-29.17,1699176.0,2620803.0,152822092.0,27.69,267990841.0,48.56,-115168749.0,-20.87,-108616979.0,-19.68,-44205113.0,-8.01,-15951.0,1.278,1.279,4088503696.0,5225107723,5225107723,2026-07-22,2026-07-22 16:11:57+08:00
560010,中证1000ETF广发,2.967,2.9672,0.01,-0.041,-1.36,5709255.0,1709487839.0,2.975,3.024,2.948,3.008,2.53,23.76,1.14,-56.46,2479440.0,3229815.0,131242368.0,7.68,90933056.0,5.32,40309312.0,2.36,-130023935.0,-7.61,-1218438.0,-0.07,-2972.0,2.967,2.968,2402621696.0,7128578572,7128578572,2026-07-22,2026-07-22 16:11:35+08:00
510980,上证指数ETF汇添富,1.36,1.3694,0.69,0.005,0.37,2731952.0,371627064.0,1.345,1.367,1.345,1.355,1.62,19.84,0.8,-24.6,1371534.0,1360418.0,127831383.0,34.4,168668042.0,45.39,-40836659.0,-10.99,-84259799.0,-22.67,-43571585.0,-11.72,-10679.0,1.359,1.36,1376798000.0,1872445280,1872445280,2026-07-22,2026-07-22 16:11:56+08:00
511990,华宝添益ETF,100.003,,0.0,0.01,0.01,1292036.0,12920183841.0,99.994,100.003,99.993,99.993,0.01,15.45,1.05,-33.08,827970.0,464065.0,123046096.0,0.95,184066816.0,1.42,-61020720.0,-0.47,-98494058.0,-0.76,-24551944.0,-0.19,-20523.0,100.002,100.003,836291600.0,83631668875,83631668875,2026-07-22,2026-07-22 16:11:34+08:00
510880,红利ETF华泰柏瑞,3.253,3.2573,0.13,0.048,1.5,3123703.0,1005971778.0,3.201,3.257,3.181,3.205,2.37,4.06,0.88,-81.41,1819456.0,1304247.0,122061670.0,12.13,227180598.0,22.58,-105118928.0,-10.45,-63734248.0,-6.34,-58327415.0,-5.8,-11343.0,3.252,3.253,7700675584.0,25050297675,25050297675,2026-07-22,2026-07-22 16:11:50+08:00
510310,沪深300ETF易方达,4.621,4.6376,0.36,-0.027,-0.58,2664500.0,1238417441.0,4.615,4.685,4.611,4.648,1.59,2.42,0.65,30.92,1263712.0,1400789.0,112347718.0,9.07,154538032.0,12.48,-42190314.0,-3.41,-89592951.0,-7.23,-22754771.0,-1.84,-19656.0,4.621,4.623,11019344128.0,50920389215,50920389215,2026-07-22,2026-07-22 16:11:36+08:00
563300,中证2000ETF华泰柏瑞,1.275,1.2759,0.07,-0.021,-1.62,9105808.0,1172479753.0,1.274,1.305,1.264,1.296,3.16,20.88,1.22,27.41,4163483.0,4942326.0,82260797.0,7.02,223604480.0,19.07,-141343683.0,-12.06,-78157913.0,-6.67,-4102881.0,-0.35,-66950.0,1.275,1.276,4361174016.0,5560496870,5560496870,2026-07-22,2026-07-22 16:11:52+08:00
