date,open,high,low,close,volume,amount,postVol,postAmt
2025-07-10,1.15,1.152,1.143,1.148,2070600,2375255,,
2025-07-11,1.148,1.158,1.141,1.155,2196700,2530955,,
2025-07-14,1.146,1.154,1.143,1.144,1767400,2025777,,
2025-07-15,1.144,1.151,1.134,1.141,3071800,3505089,,
2025-07-16,1.144,1.152,1.137,1.14,3908300,4462127,,
2025-07-17,1.137,1.142,1.128,1.141,4030400,4569526,,
2025-07-18,1.15,1.161,1.141,1.154,3080000,3549673,,
2025-07-21,1.154,1.155,1.146,1.152,2663900,3063503,,
2025-07-22,1.146,1.165,1.145,1.16,3879400,4492506,,
2025-07-23,1.16,1.195,1.157,1.19,12137900,14369106,,
2025-07-24,1.188,1.207,1.186,1.207,7675500,9204619,,
2025-07-25,1.206,1.219,1.198,1.217,7192900,8687096,,
2025-07-28,1.22,1.222,1.208,1.216,6717500,8171578,,
2025-07-29,1.215,1.232,1.208,1.23,8288500,10149065,,
2025-07-30,1.231,1.238,1.212,1.22,7896500,9673604,,
2025-07-31,1.211,1.226,1.19,1.192,6962500,8390744,,
2025-08-01,1.19,1.2,1.174,1.18,3300100,3915602,,
2025-08-04,1.176,1.189,1.17,1.188,4124200,4871239,,
2025-08-05,1.188,1.197,1.184,1.193,1887700,2244121,,
2025-08-06,1.196,1.203,1.155,1.201,3225400,3860275,,
2025-08-07,1.216,1.219,1.198,1.208,4816700,5823024,,
2025-08-08,1.208,1.208,1.189,1.19,3902500,4666566,,
2025-08-11,1.188,1.201,1.186,1.191,6631300,7912830,,
2025-08-12,1.188,1.213,1.186,1.206,8440300,10147872,,
2025-08-13,1.209,1.23,1.209,1.223,7074400,8645084,,
2025-08-14,1.223,1.248,1.209,1.211,14033800,17187225,,
2025-08-15,1.205,1.239,1.192,1.238,7593600,9297445,,
2025-08-18,1.238,1.277,1.235,1.266,10619500,13365929,,
2025-08-19,1.267,1.267,1.244,1.245,7762500,9742957,,
2025-08-20,1.245,1.287,1.23,1.286,13743400,17276754,,
2025-08-21,1.283,1.301,1.275,1.284,9922800,12765020,,
2025-08-22,1.282,1.369,1.282,1.362,16447500,22013668,,
2025-08-25,1.373,1.413,1.331,1.352,18685500,25520526,,
2025-08-26,1.338,1.379,1.33,1.354,11328600,15399739,,
2025-08-27,1.347,1.411,1.347,1.348,14677300,20144321,,
2025-08-28,1.343,1.413,1.338,1.409,17128600,23583609,,
2025-08-29,1.402,1.402,1.35,1.365,13234200,18083217,,
2025-09-01,1.42,1.425,1.367,1.409,24367100,34014769,,
2025-09-02,1.41,1.414,1.346,1.36,16106900,22185651,,
2025-09-03,1.36,1.385,1.341,1.349,12826000,17414892,,
2025-09-04,1.342,1.344,1.251,1.27,16001000,20705868,,
2025-09-05,1.269,1.309,1.259,1.308,9165000,11743385,,
2025-09-08,1.304,1.345,1.291,1.344,12401400,16324684,,
2025-09-09,1.327,1.327,1.29,1.304,13945300,18245422,,
2025-09-10,1.29,1.318,1.289,1.301,9353600,12191479,,
2025-09-11,1.302,1.351,1.287,1.345,16210600,21543507,,
2025-09-12,1.348,1.372,1.338,1.355,14483100,19709930,,
2025-09-15,1.382,1.384,1.345,1.352,15028800,20412306,,
2025-09-16,1.357,1.366,1.342,1.354,10279000,13908870,,
2025-09-17,1.355,1.416,1.346,1.406,31455070,43826506,,
2025-09-18,1.404,1.512,1.401,1.484,59184600,86624567,,
2025-09-19,1.514,1.52,1.443,1.45,62575000,92022291,,
2025-09-22,1.44,1.483,1.44,1.477,39989600,58333194,,
2025-09-23,1.498,1.62,1.468,1.591,62841022,95008844,,
2025-09-24,1.623,1.75,1.546,1.704,325642100,541189453,,
2025-09-25,1.676,1.701,1.646,1.689,198670500,332616497,,
2025-09-26,1.653,1.72,1.653,1.682,193529200,327406143,,
2025-09-29,1.682,1.73,1.66,1.727,205177500,346749778,,
2025-09-30,1.732,1.753,1.7,1.718,150791500,260859826,,
2025-10-09,1.722,1.827,1.722,1.762,126072200,223428401,,
2025-10-10,1.716,1.75,1.682,1.697,90239200,154380290,,
2025-10-13,1.616,1.761,1.616,1.76,148071700,254807053,,
2025-10-14,1.772,1.78,1.627,1.647,177047900,300120408,,
2025-10-15,1.624,1.644,1.598,1.636,86538000,140227732,,
2025-10-16,1.62,1.651,1.608,1.615,57054200,92817432,,
2025-10-17,1.603,1.614,1.546,1.552,65179100,102575583,,
2025-10-20,1.578,1.591,1.539,1.55,84395500,132109387,,
2025-10-21,1.562,1.585,1.551,1.582,72490900,113946091,,
2025-10-22,1.57,1.589,1.549,1.569,58491300,91654817,,
2025-10-23,1.554,1.568,1.534,1.559,41508300,64147739,,
2025-10-24,1.576,1.63,1.572,1.629,81261600,130840038,,
2025-10-27,1.68,1.715,1.652,1.691,105641500,178033653,,
2025-10-28,1.671,1.713,1.665,1.689,76054400,128901241,,
2025-10-29,1.683,1.699,1.659,1.697,58550200,98504505,,
2025-10-30,1.697,1.712,1.667,1.67,64240107,108441753,,
2025-10-31,1.663,1.663,1.596,1.601,85349600,137847012,,
2025-11-03,1.577,1.582,1.528,1.581,65554000,102055682,,
2025-11-04,1.573,1.618,1.573,1.592,57267093,91500378,,
2025-11-05,1.55,1.59,1.544,1.581,48017221,75283451,,
2025-11-06,1.596,1.644,1.589,1.634,61847589,100203457,,
2025-11-07,1.62,1.657,1.611,1.64,44042600,72217870,,
2025-11-10,1.65,1.701,1.643,1.666,64438700,107744696,,
2025-11-11,1.683,1.7,1.642,1.643,43071600,71873947,,
2025-11-12,1.62,1.657,1.597,1.628,52858100,85859695,,
2025-11-13,1.627,1.65,1.616,1.633,38031500,62077510,,
2025-11-14,1.616,1.632,1.585,1.59,33238300,53225592,,
2025-11-17,1.596,1.628,1.568,1.573,34521500,54972823,,
2025-11-18,1.564,1.64,1.563,1.605,60364800,97025661,,
2025-11-19,1.597,1.628,1.588,1.598,37007300,59364072,,
2025-11-20,1.62,1.624,1.555,1.558,35997700,56699879,,
2025-11-21,1.525,1.544,1.489,1.491,42039200,63611246,,
2025-11-24,1.499,1.538,1.491,1.524,42943600,64910291,,
2025-11-25,1.537,1.55,1.521,1.527,36839300,56426348,,
2025-11-26,1.515,1.547,1.509,1.527,31809100,48681993,,
2025-11-27,1.529,1.564,1.513,1.52,36857800,56742198,,
2025-11-28,1.517,1.563,1.506,1.552,43807900,67502638,,
2025-12-01,1.549,1.575,1.531,1.574,28154800,43783825,,
2025-12-02,1.57,1.578,1.548,1.558,20932700,32668305,,
2025-12-03,1.562,1.574,1.547,1.555,17616400,27482404,,
2025-12-04,1.545,1.614,1.536,1.596,39285800,62101700,,
2025-12-05,1.598,1.598,1.571,1.596,21250700,33718163,,
2025-12-08,1.598,1.63,1.581,1.623,33566500,53906964,,
2025-12-09,1.612,1.633,1.604,1.614,35158300,56805217,,
2025-12-10,1.597,1.629,1.585,1.626,31484600,50620180,,
2025-12-11,1.628,1.644,1.617,1.619,22535100,36742022,,
2025-12-12,1.615,1.681,1.592,1.675,58958594,96808819,,
2025-12-15,1.668,1.689,1.658,1.66,32277438,53970021,,
2025-12-16,1.644,1.665,1.621,1.643,36940900,60751801,,
2025-12-17,1.635,1.669,1.613,1.665,49598200,81426278,,
2025-12-18,1.65,1.667,1.634,1.636,30315100,50009402,,
2025-12-19,1.646,1.651,1.625,1.626,24096400,39418865,,
2025-12-22,1.626,1.708,1.626,1.706,65762412,111112276,,
2025-12-23,1.704,1.747,1.696,1.735,64424600,111558900,,
2025-12-24,1.735,1.746,1.718,1.739,60279800,104435639,,
2025-12-25,1.735,1.756,1.719,1.745,42338800,73628080,,
2025-12-26,1.743,1.746,1.711,1.72,46888900,80857537,,
2025-12-29,1.711,1.725,1.689,1.7,53459800,91085299,,
2025-12-30,1.691,1.73,1.691,1.7,35204000,60164232,,
2025-12-31,1.721,1.729,1.689,1.698,127297900,217005362,,
2026-01-05,1.709,1.8,1.709,1.798,97494600,171652861,,
2026-01-06,1.798,1.907,1.789,1.867,63812800,118948483,,
2026-01-07,1.91,2.02,1.907,2.013,106557700,209745023,,
2026-01-08,2.043,2.048,1.978,1.991,111359454,222948057,,
2026-01-09,1.949,1.991,1.946,1.988,116153200,228808759,,
2026-01-12,2.008,2.04,1.982,2.013,113132700,227435831,,
2026-01-13,2.0,2.038,1.932,1.944,126971778,252355994,,
2026-01-14,1.941,2.035,1.94,1.989,112494074,224166771,,
2026-01-15,1.959,2.108,1.959,2.096,124478960,253331349,,
2026-01-16,2.146,2.188,2.109,2.164,175235360,377803691,,
2026-01-19,2.174,2.208,2.133,2.153,143977660,311070893,,
2026-01-20,2.131,2.166,2.108,2.136,127864100,273228685,,
2026-01-21,2.103,2.182,2.103,2.148,120870800,259238165,,
2026-01-22,2.18,2.18,2.078,2.095,130997900,275608677,,
2026-01-23,2.087,2.145,2.06,2.143,123989400,259747063,,
2026-01-26,2.138,2.139,2.04,2.055,138489300,285678968,,
2026-01-27,2.037,2.118,2.037,2.097,123217156,256775200,,
2026-01-28,2.101,2.137,2.081,2.124,87755400,185022554,,
2026-01-29,2.111,2.111,2.027,2.032,123185991,253631291,,
2026-01-30,2.023,2.052,1.976,2.028,91585269,185384888,,
2026-02-02,1.998,2.016,1.92,1.924,84093835,164528509,,
2026-02-03,1.954,1.988,1.942,1.985,93358100,183351009,,
2026-02-04,1.965,2.0,1.95,1.979,49422734,97548325,,
2026-02-05,1.936,2.0,1.913,1.982,60611000,118048535,,
2026-02-06,1.952,1.998,1.946,1.967,47661000,94269931,,
2026-02-09,2.0,2.025,1.986,2.012,60204600,120623659,,
2026-02-10,2.007,2.028,1.993,2.007,52605000,105526186,,
