ticker,name,close,IOPV实时估值,基金折价率,change,pct_change,volume,amount,开盘价,最高价,最低价,昨收,振幅,turnover,volume_ratio,委比,外盘,内盘,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct,现手,买一,卖一,shares,float_mcap,total_mcap,data_date,更新时间
159321,黄金股ETF华安,1.426,1.4197,-0.44,0.086,6.42,619867.0,87925256.4,1.356,1.442,1.356,1.34,6.42,15.9,2.4,-14.38,378269.0,241598.0,7620530.0,8.67,-4513695.0,-5.13,12134225.0,13.8,261158.0,0.3,-7881688.0,-8.96,-15996.0,1.426,1.427,389900400.0,555997970,555997970,2026-07-22,2026-07-22 15:34:21+08:00
517400,黄金股ETF国泰,1.466,1.4592,-0.47,0.087,6.31,764276.0,111423099.0,1.401,1.486,1.398,1.379,6.38,8.39,2.76,-10.55,461995.0,302281.0,4166384.0,3.74,-956472.0,-0.86,5122856.0,4.6,3561634.0,3.2,-7728020.0,-6.94,-5149.0,1.466,1.467,910792000.0,1335221072,1335221072,2026-07-22,2026-07-22 16:11:40+08:00
159315,黄金股ETF工银,1.512,1.512,0.0,0.086,6.03,286712.0,43170118.794,1.444,1.536,1.444,1.426,6.45,14.66,2.24,34.86,157313.0,129399.0,2498221.0,5.79,-498305.0,-1.15,2996526.0,6.94,173695.0,0.4,-2671915.0,-6.19,-770.0,1.512,1.513,195589621.0,295731507,295731507,2026-07-22,2026-07-22 15:34:03+08:00
159322,黄金股ETF平安,1.498,1.4931,-0.33,0.084,5.94,228117.0,34078976.5,1.439,1.519,1.426,1.414,6.58,18.34,3.13,2.36,105391.0,122726.0,3990640.0,11.71,-2853469.0,-8.37,6844109.0,20.08,-1842290.0,-5.41,-2148349.0,-6.3,-4008.0,1.498,1.5,124411691.0,186368713,186368713,2026-07-22,2026-07-22 15:34:39+08:00
517520,黄金股ETF永赢,1.854,1.8495,-0.24,0.1,5.7,4576383.0,847815944.0,1.795,1.883,1.791,1.754,5.25,7.69,1.81,-13.89,2562638.0,2013745.0,-57785683.0,-6.82,-49180387.0,-5.8,-8605296.0,-1.01,94479811.0,11.14,-36694129.0,-4.33,-28782.0,1.854,1.855,5947404032.0,11026487075,11026487075,2026-07-22,2026-07-22 16:11:38+08:00
159562,黄金股ETF华夏,2.01,2.0113,0.06,0.105,5.51,1283721.0,257396462.334,1.924,2.045,1.924,1.905,6.35,5.87,1.62,-17.76,684668.0,599053.0,10294585.0,4.0,16092426.0,6.25,-5797841.0,-2.25,2581695.0,1.0,-12876281.0,-5.0,7656.0,2.009,2.01,2187130512.0,4396132329,4396132329,2026-07-22,2026-07-22 15:34:21+08:00
159049,有色ETF工银,0.947,0.9419,-0.54,0.039,4.3,174290.0,16489945.107,0.89,0.957,0.89,0.908,7.38,8.3,1.65,-66.72,134629.0,39662.0,1400356.0,8.49,2114270.0,12.82,-713914.0,-4.33,-1061240.0,-6.44,-339115.0,-2.06,126.0,0.946,0.947,210073319.0,198939433,198939433,2026-07-22,2026-07-22 15:34:15+08:00
159518,标普油气ETF嘉实,1.199,1.176,-1.96,0.047,4.08,8700579.0,1039220381.0,1.189,1.207,1.185,1.152,1.91,53.04,1.04,45.7,4770785.0,3929794.0,-8066000.0,-0.78,34603120.0,3.33,-42669120.0,-4.11,7154479.0,0.69,911517.0,0.09,-79864.0,1.199,1.2,1640325376.0,1966750126,1966750126,2026-07-22,2026-07-22 15:34:00+08:00
159558,半导体设备ETF易方达,1.174,1.1718,-0.19,0.045,3.99,29983637.0,3574815099.83,1.176,1.235,1.156,1.129,7.0,19.07,1.28,44.53,15017128.0,14966510.0,4180576.0,0.12,187805184.0,5.25,-183624608.0,-5.14,-59465808.0,-1.66,55285200.0,1.55,-162096.0,1.174,1.175,15719564032.0,18454768174,18454768174,2026-07-22,2026-07-22 15:34:33+08:00
562590,半导体设备ETF华夏,1.059,1.0589,-0.01,0.04,3.93,11522326.0,1241678978.0,1.056,1.113,1.04,1.019,7.16,14.48,1.31,4.24,5488581.0,6033745.0,44791008.0,3.61,205631520.0,16.56,-160840512.0,-12.95,-55884391.0,-4.5,11093377.0,0.89,-49752.0,1.059,1.06,7957989120.0,8427510478,8427510478,2026-07-22,2026-07-22 16:11:56+08:00
560290,有色ETF景顺,0.767,0.7662,-0.1,0.029,3.93,192831.0,14786185.0,0.74,0.777,0.735,0.738,5.69,4.75,1.31,-3.28,106354.0,86477.0,2389288.0,16.16,4053927.0,27.42,-1664639.0,-11.26,-1199024.0,-8.11,-1190264.0,-8.05,-933.0,0.767,0.768,405694000.0,311167298,311167298,2026-07-22,2026-07-22 16:11:54+08:00
159029,有色ETF广发,0.855,0.852,-0.35,0.032,3.89,320878.0,27449864.473,0.82,0.865,0.82,0.823,5.47,8.93,1.62,7.63,195778.0,125100.0,5806267.0,21.15,7698469.0,28.05,-1892202.0,-6.89,-4597476.0,-16.75,-1208792.0,-4.4,1727.0,0.854,0.855,359127712.0,307054194,307054194,2026-07-22,2026-07-22 15:34:54+08:00
560470,有色ETF易方达,0.84,0.8383,-0.2,0.031,3.83,275665.0,23182274.0,0.813,0.85,0.812,0.809,4.7,8.83,3.15,-14.23,156685.0,118980.0,937414.0,4.04,2548039.0,10.99,-1610625.0,-6.95,-721326.0,-3.11,-216089.0,-0.93,-509.0,0.84,0.841,312340000.0,262365600,262365600,2026-07-22,2026-07-22 16:11:56+08:00
561330,矿业ETF国泰,0.897,0.8942,-0.31,0.033,3.82,762228.0,68418693.0,0.861,0.909,0.861,0.864,5.56,4.4,1.71,39.77,397963.0,364265.0,5633847.0,8.23,1330381.0,1.94,4303466.0,6.29,-3127510.0,-4.57,-2506337.0,-3.66,-18858.0,0.897,0.898,1731392096.0,1553058710,1553058710,2026-07-22,2026-07-22 16:11:34+08:00
560780,半导体设备ETF广发,1.103,1.1034,0.04,0.04,3.76,14955084.0,1676296268.0,1.104,1.16,1.086,1.063,6.96,14.32,1.16,1.29,7377306.0,7577779.0,75179952.0,4.48,103146608.0,6.15,-27966656.0,-1.67,-72569126.0,-4.33,-2610843.0,-0.16,-69818.0,1.102,1.103,10444487936.0,11520270193,11520270193,2026-07-22,2026-07-22 16:12:01+08:00
159690,有色矿业ETF招商,1.831,1.8261,-0.27,0.066,3.74,178183.0,32622521.95,1.774,1.855,1.774,1.765,4.59,5.96,1.24,71.62,107076.0,71107.0,675541.0,2.07,-402500.0,-1.23,1078041.0,3.3,-347013.0,-1.06,-328528.0,-1.01,705.0,1.83,1.831,299163984.0,547769255,547769255,2026-07-22,2026-07-22 15:34:45+08:00
513350,标普油气ETF富国,1.282,1.2339,-3.9,0.046,3.72,22559097.0,2892340932.0,1.283,1.296,1.268,1.236,2.27,276.89,0.96,9.68,12218874.0,10340223.0,-10522160.0,-0.36,36162144.0,1.25,-46684304.0,-1.61,-7190848.0,-0.25,17713011.0,0.61,-173473.0,1.281,1.282,814746000.0,1044504372,1044504372,2026-07-22,2026-07-22 16:11:57+08:00
159163,有色ETF泰康,0.712,0.7108,-0.17,0.025,3.64,160613.0,11491274.544,0.692,0.722,0.688,0.687,4.95,6.02,1.8,26.94,88171.0,72442.0,1863953.0,16.22,2092304.0,18.21,-228351.0,-1.99,-1130426.0,-9.84,-733527.0,-6.38,465.0,0.711,0.712,266807013.0,189966593,189966593,2026-07-22,2026-07-22 15:34:51+08:00
159652,有色ETF汇添富,1.521,1.5215,0.03,0.051,3.47,2338825.0,356711506.3,1.467,1.542,1.467,1.47,5.1,11.67,2.3,-34.55,973041.0,1365784.0,10386662.0,2.91,46722359.0,13.1,-36335697.0,-10.19,-4680471.0,-1.31,-5706191.0,-1.6,-4281.0,1.521,1.522,2004320288.0,3048571158,3048571158,2026-07-22,2026-07-22 15:34:24+08:00
516650,有色金属ETF华夏,1.717,1.7194,0.14,0.057,3.43,1420770.0,244280702.0,1.671,1.743,1.671,1.66,4.34,2.7,1.8,-19.06,691663.0,729107.0,2473070.0,1.01,-16170048.0,-6.62,18643118.0,7.63,3280148.0,1.34,-5753217.0,-2.36,-4653.0,1.716,1.717,5262464768.0,9035652007,9035652007,2026-07-22,2026-07-22 16:11:55+08:00
159881,有色金属ETF国泰,0.85,0.849,-0.12,0.028,3.41,262177.0,22298701.8,0.823,0.863,0.823,0.822,4.87,14.13,1.75,-21.49,138870.0,123307.0,1886439.0,8.46,2582953.0,11.58,-696514.0,-3.12,-1589600.0,-7.13,-296838.0,-1.33,-322.0,0.85,0.851,185499166.0,157674291,157674291,2026-07-22,2026-07-22 15:34:18+08:00
512400,有色金属ETF南方,1.768,1.7657,-0.13,0.058,3.39,7097369.0,1255313002.0,1.723,1.794,1.72,1.71,4.33,5.79,1.45,-30.52,3909070.0,3188299.0,55752544.0,4.44,-25358704.0,-2.02,81111248.0,6.46,7307736.0,0.58,-63060261.0,-5.02,-41440.0,1.767,1.768,12254039040.0,21665141023,21665141023,2026-07-22,2026-07-22 16:11:37+08:00
512940,有色ETF华安,0.781,0.7819,0.12,0.025,3.31,661598.0,51871158.0,0.76,0.793,0.759,0.756,4.5,3.02,1.18,0.02,304666.0,356932.0,6931258.0,13.36,10915743.0,21.04,-3984485.0,-7.68,-2000640.0,-3.86,-4930619.0,-9.51,-840.0,0.781,0.782,2189705008.0,1710159611,1710159611,2026-07-22,2026-07-22 16:11:58+08:00
159876,有色ETF华宝,0.911,0.9105,-0.05,0.029,3.29,780411.0,71176936.3,0.893,0.923,0.887,0.882,4.08,5.23,1.05,-35.74,457585.0,322826.0,7602005.0,10.68,2654614.0,3.73,4947391.0,6.95,-5524134.0,-7.76,-2077870.0,-2.92,3851.0,0.91,0.911,1493377024.0,1360466469,1360466469,2026-07-22,2026-07-22 15:34:42+08:00
159871,有色ETF银华,0.885,0.8857,0.08,0.027,3.15,476067.0,42113896.1,0.865,0.897,0.862,0.858,4.08,4.28,1.26,28.9,211745.0,264322.0,2520967.0,5.99,948115.0,2.25,1572852.0,3.73,-968079.0,-2.3,-1552888.0,-3.69,2776.0,0.884,0.885,1112732512.0,984768273,984768273,2026-07-22,2026-07-22 15:34:39+08:00
159309,油气ETF汇添富,1.308,1.3041,-0.3,0.039,3.07,681861.0,88451305.6,1.272,1.308,1.272,1.269,2.84,11.67,1.24,23.07,289413.0,392448.0,-27340042.0,-30.91,-18795033.0,-21.25,-8545009.0,-9.66,2712395.0,3.07,24627647.0,27.84,-1708.0,1.308,1.309,584371744.0,764358241,764358241,2026-07-22,2026-07-22 15:34:24+08:00
563150,油气ETF银华,1.252,1.2503,-0.14,0.037,3.05,14217.0,1761660.0,1.22,1.252,1.22,1.215,2.63,3.8,0.42,1.34,9001.0,5216.0,116867.0,6.63,0.0,0.0,116867.0,6.63,27756.0,1.58,-144623.0,-8.21,-30.0,1.252,1.253,37399000.0,46823548,46823548,2026-07-22,2026-07-22 16:12:00+08:00
159880,有色ETF鹏华,1.8,1.7989,-0.06,0.053,3.03,457808.0,82682033.914,1.76,1.833,1.753,1.747,4.58,7.67,2.1,-52.93,300627.0,157181.0,-23496033.0,-28.42,-1455843.0,-1.76,-22040190.0,-26.66,24592714.0,29.74,-1096683.0,-1.33,733.0,1.799,1.8,596551520.0,1073792736,1073792736,2026-07-22,2026-07-22 15:34:39+08:00
561760,油气ETF博时,1.264,1.2653,0.1,0.037,3.02,55032.0,6924834.0,1.227,1.268,1.227,1.227,3.34,3.27,0.83,2.98,32727.0,22305.0,1129889.0,16.32,1464547.0,21.15,-334658.0,-4.83,-900393.0,-13.0,-229497.0,-3.31,-15.0,1.264,1.266,168195000.0,212598480,212598480,2026-07-22,2026-07-22 16:11:51+08:00
560490,工业有色ETF华泰柏瑞,0.906,0.9059,-0.01,0.026,2.95,126267.0,11504559.0,0.882,0.921,0.882,0.88,4.43,9.53,1.04,-33.25,83272.0,42995.0,1567660.0,13.63,2098053.0,18.24,-530393.0,-4.61,-1013648.0,-8.81,-554011.0,-4.82,-83.0,0.906,0.907,132482000.0,120028692,120028692,2026-07-22,2026-07-22 16:11:42+08:00
