date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2025-07-10,,0.875,0.884,0.874,0.88,252191800,221775192,,
2025-07-11,,0.88,0.892,0.879,0.881,403868100,357435495,,
2025-07-14,,0.879,0.887,0.879,0.884,192443400,170173846,,
2025-07-15,,0.884,0.887,0.875,0.88,303233900,266922501,,
2025-07-16,,0.881,0.882,0.877,0.881,241117500,211945575,,
2025-07-17,,0.88,0.885,0.879,0.884,154000100,135730484,,
2025-07-18,,0.885,0.89,0.884,0.889,206028000,182670296,,
2025-07-21,,0.89,0.9,0.89,0.899,330446600,295485454,,
2025-07-22,,0.899,0.904,0.893,0.903,373650400,335959750,,
2025-07-23,,0.903,0.909,0.9,0.902,260610402,235698816,,
2025-07-24,,0.901,0.908,0.899,0.907,313726405,283503532,,
2025-07-25,,0.905,0.907,0.901,0.902,217847500,196841863,,
2025-07-28,,0.902,0.905,0.899,0.904,191435892,172796604,,
2025-07-29,,0.903,0.907,0.9,0.907,220464400,199100377,,
2025-07-30,,0.906,0.913,0.902,0.907,276915400,251580845,,
2025-07-31,,0.905,0.906,0.894,0.897,436261000,392330610,,
2025-08-01,,0.896,0.9,0.892,0.896,258883500,231852432,,
2025-08-04,,0.894,0.901,0.892,0.901,193593400,173617718,,
2025-08-05,,0.901,0.91,0.9,0.91,293882395,266024315,,
2025-08-06,,0.909,0.914,0.908,0.913,237841700,216641727,,
2025-08-07,,0.913,0.917,0.91,0.915,204598562,186978836,,
2025-08-08,,0.913,0.918,0.911,0.916,176545000,161452732,,
2025-08-11,,0.915,0.92,0.913,0.918,261210100,239557746,,
2025-08-12,,0.918,0.922,0.916,0.921,196187200,180479313,,
2025-08-13,,0.921,0.928,0.921,0.927,295629075,273308729,,
2025-08-14,,0.927,0.931,0.92,0.922,326311700,302220004,,
2025-08-15,,0.92,0.932,0.919,0.931,341508500,316275946,,
2025-08-18,,0.931,0.941,0.929,0.937,340550525,318184978,,
2025-08-19,,0.937,0.94,0.931,0.933,283372000,265256355,,
2025-08-20,,0.931,0.945,0.928,0.945,300790598,281871956,,
2025-08-21,,0.945,0.949,0.942,0.945,374205300,353827968,,
2025-08-22,,0.945,0.96,0.943,0.959,456593520,433200754,,
2025-08-25,,0.96,0.973,0.959,0.973,613260930,591484982,,
2025-08-26,,0.97,0.975,0.966,0.97,474826400,460766670,,
2025-08-27,,0.97,0.973,0.951,0.952,921432207,886520495,,
2025-08-28,,0.951,0.964,0.939,0.964,788947320,750375239,,
2025-08-29,,0.96,0.968,0.958,0.966,571361300,550973162,,
2025-09-01,,0.966,0.971,0.964,0.971,388256995,375789072,,
2025-09-02,,0.97,0.973,0.959,0.969,529252061,511089492,,
2025-09-03,,0.969,0.97,0.95,0.955,497634600,477693389,,
2025-09-04,,0.955,0.956,0.94,0.949,917677779,869135112,,
2025-09-05,,0.946,0.96,0.942,0.958,616560505,586312069,,
2025-09-08,,0.957,0.965,0.956,0.963,402773461,386918401,,
2025-09-09,,0.962,0.964,0.954,0.958,313167061,300383439,,
2025-09-10,,0.957,0.962,0.953,0.958,252735661,242203663,,
2025-09-11,,0.955,0.973,0.952,0.971,481199073,463871192,,
2025-09-12,,0.971,0.974,0.966,0.968,442538855,429639142,,
2025-09-15,,0.968,0.969,0.963,0.964,229167900,221387381,,
2025-09-16,,0.965,0.967,0.957,0.964,242863100,233486325,,
2025-09-17,,0.963,0.966,0.958,0.964,241609356,232536405,,
2025-09-18,,0.964,0.967,0.945,0.951,453163000,434343376,,
2025-09-19,,0.95,0.956,0.948,0.953,292305800,278084356,,
2025-09-22,,0.951,0.953,0.947,0.952,235004900,223314027,,
2025-09-23,,0.951,0.954,0.938,0.951,433017800,409415432,,
2025-09-24,,0.947,0.957,0.945,0.956,337995050,321715244,,
2025-09-25,,0.956,0.959,0.954,0.956,245165600,234612667,,
2025-09-26,,0.954,0.958,0.952,0.952,191135300,182579565,,
2025-09-29,,0.952,0.965,0.947,0.963,256049300,244997470,,
2025-09-30,,0.962,0.967,0.961,0.967,394466400,380443156,,
2025-10-09,,0.968,0.983,0.966,0.982,471673300,460062234,,
2025-10-10,,0.979,0.981,0.969,0.973,402211950,392189652,,
2025-10-13,,0.943,0.971,0.943,0.968,417407600,398844178,,
2025-10-14,,0.969,0.976,0.959,0.963,427006619,413886510,,
2025-10-15,,0.96,0.976,0.96,0.975,399941481,386827810,,
2025-10-16,,0.972,0.981,0.971,0.977,277138150,270625687,,
2025-10-17,,0.976,0.977,0.955,0.958,553698050,533535130,,
2025-10-20,,0.962,0.965,0.959,0.962,303002350,291355843,,
2025-10-21,,0.963,0.975,0.963,0.974,400596450,388660468,,
2025-10-22,,0.971,0.975,0.97,0.974,254079150,247122648,,
2025-10-23,,0.972,0.979,0.965,0.977,293317900,284860646,,
2025-10-24,,0.978,0.984,0.977,0.983,281463200,276242382,,
2025-10-27,,0.988,0.999,0.987,0.999,387743800,385523310,,
2025-10-28,,0.998,1.0,0.992,0.995,330573600,329242459,,
2025-10-29,,0.995,1.003,0.994,1.002,343864499,343269437,,
2025-10-30,,1.0,1.003,0.993,0.995,331708810,331094315,,
2025-10-31,,0.994,0.996,0.987,0.989,497253010,492544446,,
2025-11-03,,0.989,0.993,0.983,0.993,337281100,333156015,,
2025-11-04,,0.991,0.993,0.981,0.986,396878900,391671647,,
2025-11-05,,0.978,0.992,0.978,0.989,391689000,385549803,,
2025-11-06,,0.988,0.999,0.988,0.998,480982496,478576022,,
2025-11-07,,0.994,1.002,0.994,0.998,308933432,308576690,,
2025-11-10,,0.998,1.003,0.996,1.003,244232490,244121497,,
2025-11-11,,1.003,1.005,0.994,0.998,291692325,291206747,,
2025-11-12,,0.996,1.002,0.992,0.997,319503300,318408732,,
2025-11-13,,0.995,1.006,0.995,1.005,357813326,358175025,,
2025-11-14,,1.0,1.006,0.995,0.996,399580200,399518651,,
2025-11-17,,0.993,0.994,0.986,0.988,557487962,551228495,,
2025-11-18,,0.986,0.987,0.976,0.981,1003342500,983974041,,
2025-11-19,,0.979,0.985,0.978,0.982,669407258,657102430,,
2025-11-20,,0.985,0.988,0.979,0.981,459384600,451829353,,
2025-11-21,,0.975,0.978,0.957,0.96,1745553053,1684260983,,
2025-11-24,,0.96,0.962,0.951,0.956,719704521,688187258,,
2025-11-25,,0.958,0.966,0.957,0.961,683942946,658057496,,
2025-11-26,,0.962,0.965,0.959,0.96,577877463,556065121,,
2025-11-27,,0.961,0.968,0.96,0.963,518372893,500316773,,
2025-11-28,,0.963,0.967,0.96,0.967,485839900,468428254,,
2025-12-01,,0.968,0.974,0.967,0.974,381338700,370098724,,
2025-12-02,,0.974,0.974,0.968,0.97,239351500,232291216,,
2025-12-03,,0.97,0.972,0.964,0.966,254070100,245788199,,
2025-12-04,,0.966,0.969,0.962,0.965,250547829,241889852,,
2025-12-05,,0.965,0.976,0.965,0.974,392710107,380994683,,
2025-12-08,,0.975,0.982,0.975,0.978,358474571,350758826,,
2025-12-09,,0.976,0.978,0.972,0.975,223533632,218012009,,
2025-12-10,,0.973,0.974,0.966,0.973,259742961,251874234,,
2025-12-11,,0.972,0.975,0.964,0.968,391431000,378820418,,
2025-12-12,,0.968,0.971,0.962,0.97,332075600,320962424,,
2025-12-15,,0.965,0.973,0.965,0.966,258800700,250706041,,
2025-12-16,,0.965,0.966,0.954,0.958,728785400,697815127,,
2025-12-17,,0.956,0.97,0.955,0.968,561601400,540704612,,
2025-12-18,,0.966,0.973,0.964,0.97,396528881,384299444,,
2025-12-19,,0.97,0.978,0.969,0.975,264784962,257977721,,
2025-12-22,,0.975,0.982,0.975,0.981,367719300,360431216,,
2025-12-23,,0.981,0.986,0.979,0.981,260167100,255505168,,
2025-12-24,,0.98,0.988,0.979,0.987,325010578,319898078,,
2025-12-25,,0.986,0.993,0.985,0.991,223892600,221556776,,
2025-12-26,,0.991,0.995,0.987,0.992,257994700,255869253,,
2025-12-29,,0.991,0.996,0.989,0.991,232602300,230788982,,
2025-12-30,,0.989,0.994,0.987,0.992,201185500,199243121,,
2025-12-31,,0.992,0.995,0.989,0.992,307448119,305239730,,
2026-01-05,,0.994,1.006,0.994,1.005,391704648,391833247,,
2026-01-06,,1.006,1.02,1.005,1.02,304768975,308897642,,
2026-01-07,,1.02,1.024,1.016,1.02,318733437,325057276,,
2026-01-08,,1.018,1.021,1.015,1.018,456470155,464438720,,
2026-01-09,,1.018,1.028,1.018,1.028,300657600,307714135,,
2026-01-12,,1.028,1.042,1.026,1.041,281960821,291024944,,
2026-01-13,,1.041,1.041,1.027,1.032,336502750,348175843,,
2026-01-14,,1.03,1.042,1.022,1.029,403123700,416515380,,
2026-01-15,,1.024,1.031,1.022,1.028,269884905,276923248,,
2026-01-16,,1.03,1.032,1.02,1.023,285687193,292894057,,
2026-01-19,,1.02,1.029,1.019,1.028,319759321,327927402,,
2026-01-20,,1.027,1.031,1.019,1.031,301493369,309149981,,
2026-01-21,,1.027,1.033,1.025,1.03,319355200,328898531,,
2026-01-22,,1.031,1.037,1.03,1.033,236353300,244064897,,
2026-01-23,,1.034,1.042,1.034,1.041,314809687,326697659,,
2026-01-26,,1.039,1.044,1.034,1.038,235941299,244948421,,
2026-01-27,,1.037,1.042,1.03,1.037,247595000,256621001,,
2026-01-28,,1.038,1.047,1.038,1.045,297443505,310248317,,
2026-01-29,,1.044,1.047,1.039,1.047,246812105,257350630,,
2026-01-30,,1.041,1.044,1.021,1.034,737677700,761508199,,
2026-02-02,,1.026,1.031,1.006,1.008,1201737685,1222242353,,
2026-02-03,,1.012,1.021,1.005,1.021,779944510,790253705,,
2026-02-04,,1.019,1.03,1.018,1.029,634987962,650234489,,
2026-02-05,,1.025,1.028,1.019,1.027,439014428,449545233,,
2026-02-06,,1.019,1.03,1.014,1.024,442607690,452862173,,
2026-02-09,,1.028,1.037,1.028,1.037,651887490,673745607,,
2026-02-10,,1.037,1.039,1.035,1.038,224980762,233319157,,
2026-02-11,,1.038,1.043,1.037,1.042,208895494,217412079,,
2026-02-12,,1.041,1.044,1.039,1.043,222670200,232071341,,
2026-02-13,,1.04,1.04,1.028,1.03,705915300,729539085,,
2026-02-24,,1.035,1.04,1.033,1.037,404253317,419136992,,
2026-02-25,,1.037,1.049,1.037,1.043,430165535,448981833,,
2026-02-26,,1.044,1.045,1.039,1.044,230214830,239861688,,
2026-02-27,,1.04,1.049,1.04,1.049,266896100,279086975,,
2026-03-02,,1.046,1.056,1.042,1.056,553765883,580799214,,
2026-03-03,,1.056,1.06,1.041,1.045,650142390,682124773,,
2026-03-04,,1.036,1.037,1.024,1.031,787234738,811186416,,
2026-03-05,,1.036,1.041,1.032,1.035,583910805,605086093,,
2026-03-06,,1.032,1.042,1.03,1.041,356648305,369920510,,
2026-03-09,,1.035,1.038,1.025,1.034,517346100,533547100,,
2026-03-10,,1.036,1.041,1.035,1.041,418309467,434500166,,
2026-03-11,,1.041,1.047,1.039,1.046,335093000,349396222,,
2026-03-12,,1.044,1.047,1.036,1.044,388160000,404494864,,
