date,open,high,low,close,volume,amount,postVol,postAmt
2025-07-10,4.045,4.09,4.044,4.065,632387667,2569715942,,
2025-07-11,4.066,4.13,4.065,4.079,1264855146,5184103110,,
2025-07-14,4.078,4.094,4.076,4.078,820547885,3351107668,,
2025-07-15,4.082,4.104,4.053,4.078,807481346,3292797650,,
2025-07-16,4.079,4.093,4.056,4.069,479181889,1951853024,,
2025-07-17,4.069,4.103,4.068,4.102,597822533,2443096232,,
2025-07-18,4.108,4.136,4.105,4.132,713129616,2940955208,,
2025-07-21,4.137,4.16,4.134,4.157,767461325,3184284274,,
2025-07-22,4.159,4.203,4.142,4.201,1082109050,4516788944,,
2025-07-23,4.204,4.234,4.188,4.199,994731531,4188253000,,
2025-07-24,4.195,4.228,4.19,4.225,885235951,3729028292,,
2025-07-25,4.225,4.225,4.193,4.203,820085976,3452281674,,
2025-07-28,4.203,4.223,4.186,4.214,602771297,2535151857,,
2025-07-29,4.208,4.236,4.192,4.235,805978553,3395606595,,
2025-07-30,4.227,4.265,4.207,4.232,950252156,4023783503,,
2025-07-31,4.221,4.221,4.142,4.155,1122912575,4687659264,,
2025-08-01,4.148,4.162,4.118,4.133,611567102,2531113831,,
2025-08-04,4.122,4.154,4.117,4.152,435567200,1801388564,,
2025-08-05,4.154,4.185,4.151,4.183,548068072,2282989180,,
2025-08-06,4.181,4.199,4.176,4.194,408944907,1713095761,,
2025-08-07,4.196,4.21,4.171,4.193,533965616,2236786690,,
2025-08-08,4.188,4.201,4.175,4.183,423062400,1771777749,,
2025-08-11,4.183,4.218,4.183,4.202,688151892,2891923703,,
2025-08-12,4.2,4.237,4.2,4.228,482487210,2036818306,,
2025-08-13,4.234,4.272,4.229,4.263,758840813,3227703467,,
2025-08-14,4.265,4.303,4.248,4.256,887934379,3797429985,,
2025-08-15,4.242,4.302,4.24,4.295,1071833947,4584387161,,
2025-08-18,4.298,4.36,4.285,4.327,1009247534,4362087157,,
2025-08-19,4.326,4.347,4.297,4.305,774332431,3347920291,,
2025-08-20,4.295,4.365,4.267,4.364,1378416563,5938089045,,
2025-08-21,4.368,4.394,4.358,4.378,913002468,3997377735,,
2025-08-22,4.375,4.484,4.374,4.479,1360263420,6031204221,,
2025-08-25,4.501,4.572,4.497,4.565,1456091826,6599627199,,
2025-08-26,4.554,4.572,4.527,4.541,1114294146,5068845227,,
2025-08-27,4.541,4.585,4.473,4.475,1412690404,6408311259,,
2025-08-28,4.469,4.561,4.452,4.559,1276415694,5746035433,,
2025-08-29,4.55,4.613,4.54,4.601,1355057364,6208498370,,
2025-09-01,4.607,4.624,4.58,4.616,1193986671,5495420182,,
2025-09-02,4.613,4.643,4.55,4.59,1034412186,4755250317,,
2025-09-03,4.592,4.609,4.52,4.549,918862472,4187703184,,
2025-09-04,4.546,4.555,4.416,4.456,1420822833,6352441030,,
2025-09-05,4.45,4.563,4.442,4.554,1060332474,4780253830,,
2025-09-08,4.554,4.573,4.524,4.555,1034021993,4701185135,,
2025-09-09,4.545,4.564,4.502,4.528,680354536,3084847254,,
2025-09-10,4.526,4.562,4.507,4.538,608658332,2761984289,,
2025-09-11,4.527,4.662,4.517,4.66,978341822,4504295390,,
2025-09-12,4.662,4.664,4.615,4.621,915858027,4251540392,,
2025-09-15,4.622,4.662,4.614,4.629,721191518,3346337207,,
2025-09-16,4.632,4.652,4.591,4.62,788903361,3642646550,,
2025-09-17,4.615,4.659,4.599,4.653,715407882,3315621289,,
2025-09-18,4.655,4.676,4.554,4.594,1187372710,5488692045,,
2025-09-19,4.59,4.633,4.587,4.604,731613811,3369611818,,
2025-09-22,4.604,4.621,4.582,4.619,629276623,2896946428,,
2025-09-23,4.627,4.656,4.558,4.622,1055000135,4859849641,,
2025-09-24,4.597,4.664,4.596,4.663,1004485867,4656117026,,
2025-09-25,4.663,4.718,4.657,4.695,771336231,3614405601,,
2025-09-26,4.677,4.699,4.65,4.651,715305937,3344592886,,
2025-09-29,4.648,4.755,4.64,4.728,1195436520,5620190347,,
2025-09-30,4.734,4.75,4.72,4.741,740380927,3508639995,,
2025-10-09,4.754,4.836,4.75,4.816,897090608,4308933449,,
2025-10-10,4.787,4.794,4.704,4.719,1174642559,5581932563,,
2025-10-13,4.598,4.704,4.596,4.692,965836187,4499844601,,
