ticker,name,close,pct_change,pct_60d,pct_ytd,volume_ratio,turnover,amount,pe,pb,total_mcap,float_mcap,main_net_inflow,main_net_pct,super_large_net_inflow,large_net_inflow,score,strategy
600941,中国移动,94.65,0.6,1.51,-4.25,0.91,0.47,404148757,17.49,1.44,2052361856972,85446978612,-13508670,-3.31,639830,-14148500,11.0973932358606,fundamental
600938,中国海油,33.16,2.38,-12.51,11.65,2.29,1.63,1601713249,10.07,1.89,1576093274109,99148400000,101078880,6.26,22810112,78268768,9.807151991759326,fundamental
601899,紫金矿业,33.29,3.39,-1.89,-2.35,2.42,1.08,7298186902,11.02,4.67,885204889766,685833693631,491767680,6.68,80603072,411164608,5.80567370129158,fundamental
000333,美的集团,84.9,0.12,11.8,14.07,0.65,0.11,657576684,12.77,3.14,647340374720,584179572674,-10200228,-1.55,-29478823,19278595,4.169291588293605,fundamental
601088,中国神华,45.52,0.18,-1.39,15.33,1.26,0.1,753984008,23.14,2.15,987303049518,750672047712,-62756363,-8.26,16644884,-79401247,4.16777711901399,fundamental
600030,中信证券,28.51,0.74,10.42,1.79,1.36,0.47,1629296725,10.34,1.48,422533790095,347153468269,174061312,10.64,176314112,-2252800,3.365295947487917,fundamental
601728,中国电信,6.04,0.33,3.78,-2.74,1.1,0.08,354204546,18.8,1.2,552703117742,468883561342,-56002277,-15.72,-23233922,-32768355,2.5484375360108387,fundamental
600150,中国船舶,33.33,0.94,-13.29,1.31,1.65,0.62,1531642704,12.98,1.71,250828957529,250828957529,85555194,5.55,80526186,5029008,1.9337327617647442,fundamental
601881,中国银河,12.74,0.31,4.43,-17.81,0.75,0.14,126887333,10.49,1.17,139304284741,92281140517,492539,0.38,-4966604,5459143,1.768429064386271,fundamental
600989,宝丰能源,24.6,3.71,-16.53,28.06,2.09,0.98,1719300394,12.32,3.68,180400656000,180400656000,129089379,7.45,96660739,32428640,1.6634387065443987,fundamental
601995,中金公司,36.12,1.03,7.05,3.2,1.11,0.43,455063690,12.18,1.7,174360518072,105598352933,26803523,5.88,9357184,17446339,1.6554209347373725,fundamental
601225,陕西煤业,25.28,1.57,-0.43,23.86,1.32,0.23,551970395,14.55,2.63,245089600000,245089600000,-43256569,-7.59,-34630517,-8626052,1.6164635924051314,fundamental
002493,荣盛石化,12.18,0.16,1.42,4.91,1.62,0.36,408419293,10.8,2.68,121671406654,113737659154,21578615,5.28,5179928,16398687,1.614346376219086,fundamental
601991,大唐发电,7.07,1.73,73.71,102.58,2.36,3.95,3376310428,11.3,3.55,130842443263,87640349979,-317185808,-9.34,-133660352,-183525456,1.5742584002615327,fundamental
600188,兖矿能源,22.49,0.58,8.75,71.03,1.96,0.63,827336740,14.27,3.03,225728801930,134070806930,8580491,1.03,7954261,626230,1.5600810543906025,fundamental
002648,卫星化学,25.21,2.98,-7.42,46.74,2.03,1.07,892147637,10.03,2.51,84923557845,84869023447,-20093878,-2.24,14771877,-34865755,1.55070230142,fundamental
000792,盐湖股份,27.2,3.5,-27.31,-3.41,2.1,0.99,1402128444,11.89,3.22,143930773115,143929490091,179222420,12.78,123023524,56198896,1.5395150518188236,fundamental
600999,招商证券,18.91,0.32,26.74,16.8,0.94,0.35,489190202,12.57,1.37,164451321901,140350119694,47733752,9.71,46546248,1187504,1.5295952477879038,fundamental
002466,天齐锂业,45.47,3.53,-38.3,-17.89,1.93,2.66,1773905449,10.38,1.68,77900037056,67101170053,89759872,5.05,47406928,42352944,1.4481413112155108,fundamental
002128,电投能源,27.39,3.75,-13.71,2.93,1.61,0.38,230761222,10.7,1.66,85634206893,61396697973,3540274,1.53,7782897,-4242623,1.4328187844224567,fundamental
