ticker,name,close,pct_change,pct_60d,pct_ytd,volume_ratio,turnover,amount,pe,pb,total_mcap,float_mcap,main_net_inflow,main_net_pct,super_large_net_inflow,large_net_inflow,score,strategy
601179,中国西电,13.65,9.99,-20.45,50.83,3.85,3.26,2198261023,50.47,3.03,69968294105,69968294105,496242215,22.54,600873495,-104631280,14.66403908514535,oversold
600666,奥瑞德,3.5,10.06,-41.57,4.17,5.58,7.07,605434332,-248.34,8.78,9629610879,8757432131,157543327,25.97,143473969,14069358,8.337156619887843,oversold
002379,宏桥控股,20.37,9.58,-24.94,-13.94,2.82,5.6,1254101860,9.82,5.42,265443877775,23147933349,178643365,14.21,93596758,85046607,6.700738872553398,oversold
300444,双杰电气,8.92,12.2,-44.39,-6.79,4.5,10.08,542654073,6.37,3.45,7177211203,5596779955,41726982,7.61,17232895,24494087,6.622554984556613,oversold
002229,鸿博股份,10.33,10.01,-38.8,-33.14,2.77,4.3,212853776,-40.43,4.79,5125658071,5094303164,97165256,45.65,93130314,4034942,6.407196692359693,oversold
002498,汉缆股份,5.91,10.06,-31.36,55.94,4.03,2.17,413408455,30.65,2.27,19661364360,19661364360,121377861,29.36,101081559,20296302,6.182810564728163,oversold
000603,盛达资源,24.83,10.01,-33.95,-19.49,7.42,10.06,1604123391,53.94,4.91,17131938861,16554567194,89338624,5.57,81926224,7412400,5.6284538758435385,oversold
002240,盛新锂能,29.49,6.65,-42.1,-14.35,3.24,4.99,1333786844,14.54,2.51,26992016285,26921678212,108684854,8.14,53945190,54739664,5.559108508417035,oversold
002460,赣锋锂业,49.63,4.64,-41.5,-20.9,2.43,3.01,1798065729,14.16,2.25,104058943271,60112751226,145342879,8.07,67861983,77480896,5.525656871781431,oversold
000533,顺钠股份,8.68,10.01,-34.69,4.2,4.1,3.95,229690883,88.63,6.08,5996282880,5944952832,74775869,32.56,82973277,-8197408,5.3351492058720495,oversold
600089,特变电工,21.01,6.22,-21.02,-3.89,4.4,2.8,2917181613,14.63,1.51,106159171917,106159171917,201667936,6.87,168212768,33455168,5.29901836505201,oversold
001208,华菱线缆,13.61,10.02,-31.47,-43.24,3.95,6.1,255500623,71.34,3.0,8687949380,4337965072,84176632,32.94,57334815,26841817,5.204496812408242,oversold
300390,天华新能,59.06,5.69,-35.1,8.15,2.71,4.82,1900356762,12.66,3.98,49064141539,39704123334,141966012,7.44,87456876,54509136,5.161082111477678,oversold
600550,保变电气,11.65,10.01,-22.44,10.43,5.24,2.98,609691199,90.05,24.04,21453806792,21453806792,118967192,19.49,123872992,-4905800,5.041088910455966,oversold
002738,中矿资源,49.92,5.21,-41.18,-36.04,2.18,2.92,1020540478,17.74,2.91,36016874500,35504503058,114893723,11.24,33771995,81121728,4.952627079368782,oversold
000688,国城矿业,28.68,7.9,-34.68,3.65,4.43,2.09,700907147,24.06,11.94,33987741808,33987617910,90748946,12.95,57748995,32999951,4.78468057229378,oversold
603619,中曼石油,23.47,9.98,-29.86,2.44,1.14,2.69,288463548,85.7,2.52,10851083680,10851083680,57700254,19.98,73196720,-15496466,4.303116191795759,oversold
000792,盐湖股份,27.2,3.5,-27.31,-3.41,2.1,0.99,1402128444,11.89,3.22,143930773115,143929490091,179222420,12.78,123023524,56198896,4.209788264020028,oversold
002218,拓日新能,3.82,10.09,-26.96,-11.98,4.22,3.57,186190668,-33.37,1.37,5379706569,5300929383,64872575,34.84,64876207,-3632,4.197885679320178,oversold
603799,华友钴业,40.94,2.86,-36.31,-39.58,2.17,2.27,1747019314,7.76,1.56,77521016546,77278638645,146201025,8.31,76187809,70013216,4.118008007341056,oversold
