ticker,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
601138,1008215392.0,15.01,590661360.0,8.79,417554032.0,6.22,-365974560.0,-5.45,-642209408.0,-9.56
000636,586798096.0,16.94,813550032.0,23.49,-226751936.0,-6.55,-335039440.0,-9.67,-251758656.0,-7.27
601179,496242215.0,22.54,600873495.0,27.29,-104631280.0,-4.75,-187432336.0,-8.51,-308676112.0,-14.02
601899,491767680.0,6.68,80603072.0,1.09,411164608.0,5.58,-147950816.0,-2.01,-343820176.0,-4.67
300308,442534656.0,2.61,628940288.0,3.71,-186405632.0,-1.1,-442296656.0,-2.61,-237865.0,0.0
603993,418887728.0,12.28,320127744.0,9.38,98759984.0,2.89,-187441616.0,-5.49,-231490576.0,-6.79
300274,399922400.0,8.9,265188864.0,5.9,134733536.0,3.0,-185016000.0,-4.12,-214906400.0,-4.78
300408,309313504.0,5.75,197595472.0,3.67,111718032.0,2.08,-57892464.0,-1.08,-251421040.0,-4.67
000977,292210496.0,3.53,119678640.0,1.44,172531856.0,2.08,-127104272.0,-1.53,-165106224.0,-1.99
300750,259921072.0,5.57,96336336.0,2.06,163584736.0,3.51,63774832.0,1.37,-323695920.0,-6.94
603618,255677250.0,29.33,260660446.0,29.91,-4983196.0,-0.57,-110512251.0,-12.68,-145164991.0,-16.66
600183,243456912.0,5.29,80265200.0,1.74,163191712.0,3.54,-12961232.0,-0.28,-230508448.0,-5.01
001309,225215552.0,3.63,351849200.0,5.68,-126633648.0,-2.04,-224880864.0,-3.63,-334673.0,-0.01
002475,217205392.0,7.87,139430800.0,5.05,77774592.0,2.82,-77514352.0,-2.81,-139691024.0,-5.06
600522,210198944.0,5.27,130763344.0,3.28,79435600.0,1.99,-50315424.0,-1.26,-159893488.0,-4.01
600089,201667936.0,6.87,168212768.0,5.73,33455168.0,1.14,-56533216.0,-1.93,-145132608.0,-4.94
000792,179222420.0,12.78,123023524.0,8.77,56198896.0,4.01,-69456224.0,-4.95,-109766202.0,-7.82
002379,178643365.0,14.21,93596758.0,7.44,85046607.0,6.76,-44925600.0,-3.57,-133717760.0,-10.63
601678,176423517.0,22.47,139353024.0,17.75,37070493.0,4.72,-76591218.0,-9.76,-99832298.0,-12.72
600030,174061312.0,10.64,176314112.0,10.77,-2252800.0,-0.14,-87257296.0,-5.33,-86832528.0,-5.31
600219,170470989.0,13.82,141103453.0,11.44,29367536.0,2.38,-85065600.0,-6.9,-85409184.0,-6.93
