序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd
2,300062,中能电气,6.35,20.04,1.06,495293.0,295750272.22,20.42,6.35,5.27,5.28,5.29,9.26,10.81,356.69,2.6,4000102300.0,2910574888.0,0.0,0.0,-14.99,-23.77
3,301234,五洲医疗,48.96,20.0,8.16,3281.0,16063776.0,0.0,48.96,48.96,48.96,40.8,1.0,0.82,103.38,4.41,3329280000.0,1966753212.0,0.0,0.0,20.98,15.74
4,688618,三旺通信,30.07,19.99,5.01,36069.0,102991723.0,21.43,30.07,24.7,24.94,25.06,4.32,3.28,-968.6,4.09,3309138789.0,3309138789.0,0.0,0.0,-24.14,13.47
5,301158,德石股份,15.13,19.98,2.52,178105.0,257179231.68,19.67,15.13,12.65,12.68,12.61,10.35,9.37,123.48,2.15,2950579416.0,2877068057.0,0.0,0.0,-17.55,-11.52
9,300214,日科化学,9.76,14.15,1.21,339450.0,319858608.0,19.88,10.18,8.48,8.61,8.55,2.81,7.3,545.98,1.89,4537449513.0,4537449513.0,0.41,0.72,23.23,46.11
10,300510,金冠股份,3.46,13.44,0.41,569122.0,196002700.21,17.05,3.58,3.06,3.08,3.05,11.42,6.9,-23.34,1.49,2853429822.0,2853429822.0,-0.29,-0.86,-14.36,-16.22
11,300191,潜能恒信,32.21,13.18,3.75,226670.0,698613044.66,12.44,32.94,29.4,29.4,28.46,3.48,10.25,84.49,9.04,10307200000.0,7124690950.0,0.75,-0.8,-21.67,74.77
13,300444,双杰电气,8.92,12.2,0.97,632237.0,542654073.0,14.34,9.01,7.87,7.94,7.95,4.5,10.08,6.37,3.45,7177211203.0,5596779955.0,1.02,-0.45,-44.39,-6.79
14,300407,凯发电气,10.27,12.12,1.11,67817.0,65820325.0,12.66,10.27,9.11,9.22,9.16,2.91,2.62,104.65,1.65,3557930707.0,2660682853.0,1.99,2.91,-19.45,-8.63
15,688260,昀冢科技,77.78,11.99,8.33,53873.0,428094077.0,16.57,83.34,71.83,71.83,69.45,3.3,4.49,-44.11,57.79,9333600000.0,9333600000.0,-0.99,0.13,152.37,170.07
17,301587,中瑞股份,19.95,10.96,1.97,64684.0,126411634.23,15.57,20.63,17.83,17.96,17.98,7.52,8.81,48.76,1.47,2939194398.0,1465388148.0,0.2,-0.4,-30.63,-14.74
19,300049,福瑞医科,46.16,10.7,4.46,116525.0,539222664.94,17.75,48.8,41.4,41.59,41.7,4.26,4.99,95.82,6.27,12185829176.0,10782524417.0,-0.19,-0.58,-20.04,-34.3
22,300606,金太阳,32.71,10.13,3.01,77243.0,245856674.0,11.92,33.26,29.72,29.72,29.7,2.04,6.56,118.31,6.87,4525357388.0,3849132437.0,-0.09,0.46,-6.65,40.33
23,601678,滨化股份,6.22,10.09,0.57,1275032.0,784541951.0,6.37,6.22,5.86,5.86,5.65,2.96,6.24,25.58,1.29,14983745357.0,12709551637.0,0.0,0.0,21.96,48.1
24,002218,拓日新能,3.82,10.09,0.35,495953.0,186190668.0,10.09,3.82,3.47,3.5,3.47,4.22,3.57,-33.37,1.37,5379706569.0,5300929383.0,0.0,0.0,-26.96,-11.98
25,000017,深中华A,5.68,10.08,0.52,99267.0,54662017.5,11.05,5.68,5.11,5.12,5.16,2.64,2.25,160.02,10.03,3914570419.0,2503868682.0,0.0,0.0,-10.55,-27.83
27,002300,太阳电缆,6.45,10.07,0.59,268063.0,165664805.99,10.24,6.45,5.85,5.87,5.86,5.82,3.71,72.32,2.51,4659052365.0,4658802821.0,0.0,0.0,-37.07,-29.35
