序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
2,300062,中能电气,6.35,20.04,1.06,495293.0,295750272.22,20.42,6.35,5.27,5.28,5.29,9.26,10.81,356.69,2.6,4000102300.0,2910574888.0,0.0,0.0,-14.99,-23.77,82631747.0,27.93,82931308.0,28.03,-299561.0,-0.1,-32078195.0,-10.84,-50553553.0,-17.09
3,301234,五洲医疗,48.96,20.0,8.16,3281.0,16063776.0,0.0,48.96,48.96,48.96,40.8,1.0,0.82,103.38,4.41,3329280000.0,1966753212.0,0.0,0.0,20.98,15.74,4352544.0,27.1,7133472.0,44.41,-2780928.0,-17.31,-3128544.0,-19.48,-1224000.0,-7.62
4,688618,三旺通信,30.07,19.99,5.01,36069.0,102991723.0,21.43,30.07,24.7,24.94,25.06,4.32,3.28,-968.6,4.09,3309138789.0,3309138789.0,0.0,0.0,-24.14,13.47,30884353.0,29.98,19291085.0,18.73,11593268.0,11.26,-16811556.0,-16.32,-14072797.0,-13.66
5,301158,德石股份,15.13,19.98,2.52,178105.0,257179231.68,19.67,15.13,12.65,12.68,12.61,10.35,9.37,123.48,2.15,2950579416.0,2877068057.0,0.0,0.0,-17.55,-11.52,56122462.0,21.81,51542035.0,20.03,4580427.0,1.78,-16525368.0,-6.42,-39597095.0,-15.39
9,300214,日科化学,9.76,14.15,1.21,339450.0,319858608.0,19.88,10.18,8.48,8.61,8.55,2.81,7.3,545.98,1.89,4537449513.0,4537449513.0,0.41,0.72,23.23,46.11,21330189.0,6.65,12617148.0,3.93,8713041.0,2.71,-5622130.0,-1.75,-15708059.0,-4.89
10,300510,金冠股份,3.46,13.44,0.41,569122.0,196002700.21,17.05,3.58,3.06,3.08,3.05,11.42,6.9,-23.34,1.49,2853429822.0,2853429822.0,-0.29,-0.86,-14.36,-16.22,-1301758.0,-0.66,-2597645.0,-1.32,1295887.0,0.66,1422526.0,0.72,-120768.0,-0.06
11,300191,潜能恒信,32.21,13.18,3.75,226670.0,698613044.66,12.44,32.94,29.4,29.4,28.46,3.48,10.25,84.49,9.04,10307200000.0,7124690950.0,0.75,-0.8,-21.67,74.77,13021667.0,1.86,27322372.0,3.9,-14300705.0,-2.04,-4014581.0,-0.57,-9007086.0,-1.28
13,300444,双杰电气,8.92,12.2,0.97,632237.0,542654073.0,14.34,9.01,7.87,7.94,7.95,4.5,10.08,6.37,3.45,7177211203.0,5596779955.0,1.02,-0.45,-44.39,-6.79,41726982.0,7.61,17232895.0,3.14,24494087.0,4.47,-9400535.0,-1.71,-32326447.0,-5.9
14,300407,凯发电气,10.27,12.12,1.11,67817.0,65820325.0,12.66,10.27,9.11,9.22,9.16,2.91,2.62,104.65,1.65,3557930707.0,2660682853.0,1.99,2.91,-19.45,-8.63,11468578.0,16.41,1109360.0,1.59,10359218.0,14.82,-2361989.0,-3.38,-9106589.0,-13.03
15,688260,昀冢科技,77.78,11.99,8.33,53873.0,428094077.0,16.57,83.34,71.83,71.83,69.45,3.3,4.49,-44.11,57.79,9333600000.0,9333600000.0,-0.99,0.13,152.37,170.07,44450921.0,10.31,67769586.0,15.71,-23318665.0,-5.41,-25435097.0,-5.9,-19015824.0,-4.41
17,301587,中瑞股份,19.95,10.96,1.97,64684.0,126411634.23,15.57,20.63,17.83,17.96,17.98,7.52,8.81,48.76,1.47,2939194398.0,1465388148.0,0.2,-0.4,-30.63,-14.74,2061895.0,1.63,2498517.0,1.97,-436622.0,-0.34,2028964.0,1.6,-4090860.0,-3.23
19,300049,福瑞医科,46.16,10.7,4.46,116525.0,539222664.94,17.75,48.8,41.4,41.59,41.7,4.26,4.99,95.82,6.27,12185829176.0,10782524417.0,-0.19,-0.58,-20.04,-34.3,52409578.0,9.7,23967299.0,4.44,28442279.0,5.27,-25207138.0,-4.67,-27202440.0,-5.04
22,300606,金太阳,32.71,10.13,3.01,77243.0,245856674.0,11.92,33.26,29.72,29.72,29.7,2.04,6.56,118.31,6.87,4525357388.0,3849132437.0,-0.09,0.46,-6.65,40.33,27601995.0,11.19,13830953.0,5.61,13771042.0,5.58,6819978.0,2.76,-34421973.0,-13.95
23,601678,滨化股份,6.22,10.09,0.57,1275032.0,784541951.0,6.37,6.22,5.86,5.86,5.65,2.96,6.24,25.58,1.29,14983745357.0,12709551637.0,0.0,0.0,21.96,48.1,176423517.0,22.47,139353024.0,17.75,37070493.0,4.72,-76591218.0,-9.76,-99832298.0,-12.72
24,002218,拓日新能,3.82,10.09,0.35,495953.0,186190668.0,10.09,3.82,3.47,3.5,3.47,4.22,3.57,-33.37,1.37,5379706569.0,5300929383.0,0.0,0.0,-26.96,-11.98,64872575.0,34.84,64876207.0,34.84,-3632.0,0.0,-23084196.0,-12.4,-41788379.0,-22.44
25,000017,深中华A,5.68,10.08,0.52,99267.0,54662017.5,11.05,5.68,5.11,5.12,5.16,2.64,2.25,160.02,10.03,3914570419.0,2503868682.0,0.0,0.0,-10.55,-27.83,16072078.0,29.4,10816495.0,19.79,5255583.0,9.61,386733.0,0.71,-16458811.0,-30.11
27,002300,太阳电缆,6.45,10.07,0.59,268063.0,165664805.99,10.24,6.45,5.85,5.87,5.86,5.82,3.71,72.32,2.51,4659052365.0,4658802821.0,0.0,0.0,-37.07,-29.35,43345579.0,26.12,37306513.0,22.48,6039066.0,3.64,-12621551.0,-7.6,-30724028.0,-18.51
28,002498,汉缆股份,5.91,10.06,0.54,722848.0,413408455.75,10.61,5.91,5.34,5.37,5.37,4.03,2.17,30.65,2.27,19661364360.0,19661364360.0,0.0,0.0,-31.36,55.94,121377861.0,29.36,101081559.0,24.45,20296302.0,4.91,-56671808.0,-13.71,-64706053.0,-15.65
30,600666,奥瑞德,3.5,10.06,0.32,1769087.0,605434332.0,11.95,3.5,3.12,3.16,3.18,5.58,7.07,-248.34,8.78,9629610879.0,8757432131.0,0.0,0.0,-41.57,4.17,157543327.0,25.97,143473969.0,23.65,14069358.0,2.32,-54485687.0,-8.98,-103051689.0,-16.99
31,002199,东晶电子,10.73,10.05,0.98,56183.0,60284541.41,0.0,10.73,10.73,10.73,9.75,7.14,2.43,-363.6,14.42,2612136555.0,2477901358.0,0.0,0.0,10.05,26.38,-6993997.0,-11.6,-6575527.0,-10.91,-418470.0,-0.69,2734186.0,4.54,4259810.0,7.07
32,002197,证通电子,7.67,10.04,0.7,1048570.0,787000306.46,9.61,7.67,7.0,7.0,6.97,10.31,19.64,658.74,2.67,4712163658.0,4095780092.0,0.79,1.59,-0.26,-24.21,12802795.0,1.63,26754496.0,3.4,-13951701.0,-1.77,-22751861.0,-2.89,9949067.0,1.26
